id,case_uuid,learner_outcome_id,name
FK.AC,d8456138-c11c-4ac5-8036-56eec49b60bc,FK,Appreciating and Creating Art
FK.SS,f5d7ace8-44d7-4632-9bf3-945d6f85e552,FK,Social Systems
FL.ID,dd781e58-53ed-46a6-b95e-16797685eab7,FL,Communicating and Receiving Ideas
FL.MST,6138e96b-24ef-4503-afa0-bc6b95c20961,FL,Mathematical and Scientific Thinking
GC.IS,aecb7a56-d42f-4619-97e6-5a9a4c047b16,GC,Interpersonal Skills
GC.SA,f3245eb1-55c4-4bfc-a88d-54519849de1a,GC,Social Awareness
GC.SAg,8e394243-3db9-44cc-b732-e555bf647f93,GC,Social Agency
LL.SAw,05ef71a4-3fe8-4b16-98be-45d673cf598a,LL,Self-Awareness
LL.SD,e800fd86-cb5e-4857-b164-3a50f1454f6f,LL,Self-Directed Learning
LL.SM,fc248ea7-409b-4c1c-8aea-8d305ed64cdf,LL,Self-Management
OT.Creat,57308ed2-3a17-4aa2-98f4-e9b20aa6b08a,OT,Creative Thinking
OT.Crit,814d422f-7862-43a2-8fed-943751306561,OT,Critical Thinking
OT.PS,6a5ad3bc-2de4-46f6-9df1-1b6922bdd76c,OT,Problem Seeking and Solving
